# ~/hr/tkr_split_dates.csv
# This file is a demo of a file I use to collect split dates of tickers.
# Once this file is up to date,
# I use a script to read this file and issue a series of 
# UPDATE commands to make closing_price in ydata suitable for
# creating moving average calculations.

# Originally I wanted to separate the three columns with comma.
# But now I like plain white space.

# Some of the data below was obtained from ~/hr/qry_abrupt.sql
# Some was obtained from google of 'stock split dates.'

# Format:
# ticker  date  old_price/new_price

NFLX   2004-02-11    2
PCLN   2003-06-15    1/6
CHK    1997-01-01    2
EOG    2005-03-01    2
INFY   2006-07-17    2
LNG    2005-04-24    2
ECL    2003-06-08    2
MXIM   1999-12-21    2
SCG    1995-05-25    2
AMGN   1999-11-21    2
APD    1998-06-15    2
ATVI   2008-09-07    2
XRX    1999-02-23    2
VALE   2007-09-12    2
SI     2001-05-06    3/2
PGR    2006-05-18    4
HES    2006-05-31    3
FFIV   2007-08-20    2
FDX    1999-05-06    2
CTSH   2007-10-16    2
BRCM   2006-02-21    3/2
BRCM   2000-02-13    2
BRCM   1999-02-17    2
ARG    1996-04-14    2
ADSK   2004-12-20    2
ADSK   2002-04-18    2
ADSK   1994-10-30    2
ADSK   1997-03-29    3
YHOO   2004-05-11    2
YHOO   2000-02-13    2
YHOO   1999-02-07    2
YHOO   1998-08-02    2
YHOO   1997-09-01    3/2
SPLS   2005-04-17    3/2
SPLS   1999-01-28    3/2
SPLS   1998-02-01    3/2
SPLS   1996-03-25    3/2
SPLS   1995-07-24    3/2
SPLS   1994-10-30    3/2
SPLS   1993-12-13    3/2
SPLS   1991-07-12    3/2
MAT    1996-03-03    5/4
JOY    2005-12-12    3/2
KMT    2007-12-18    2
RIO    2010-04-29    4
TXI    1997-03-02    2
DE     2007-12-03    2
DE     1995-11-28    3
AFL    2001-03-18    2
AFL    1998-06-08    2  
AFL    1996-03-17    3/2
AFL    1993-06-14    5/4
AFL    1987-02-02    2  
AFL    1986-03-02    4/3
AFL    1985-06-05    3/2
CLF    2008-05-15    2
CLF    2006-07-02    2
CLF    2005-01-02    2
CVS    2005-06-06    2
CVS    1998-06-15    2
CVS    1989-03-14    2
DRI    2002-05-01    3/2
EXPD   2006-06-25    2
TOT    2006-05-22    2
UNFI   2004-04-19    2
NVO    2014-01-08    5
VZ     2010-07-01    64/5
NWSA   2004-11-02    2
PVH    1991-10-09    2
AXP    2005-10-02    16/49
COH    2005-04-04    2
COP    2012-04-30    47/64
MCK    1998-01-04    2
SYMC   2004-11-30    2
TSO    2007-05-29    2
GME    2007-03-18    2
BIDU   2010-05-11    10
APA    2004-01-14    2
