big_ups_rpt.txt

This report shows that Mean-Reversion is comparatively weak
when stocks move sharply up.



dan@ub97hp_scikit ~/hr $ ./psql.bash -f big_ups_rpt.sql 
--
-- big_ups_rpt.sql
--
-- I use this script to study Mean-Reversion in the Stock Market.
-- Now I am ready to report.
\C 'Next day summary of stocks which upped 2% or more the day before:'
Title is "Next day summary of stocks which upped 2% or more the day before:".
SELECT 
tkr ticker
,COUNT(ydate) event_count
,MIN(ydate)   min_date
,MAX(ydate)   max_date
,ROUND(100*AVG(nlg1),3)    avg_day1_pct_up
,ROUND(100*AVG(ng),3)      avg_day1_pct_gain
FROM td12
WHERE nlg1 > 2.0/ 100.0
AND ydate > '2008-01-01'
AND ng IS NOT NULL
GROUP BY tkr ORDER BY AVG(ng)
;
          Next day summary of stocks which upped 2% or more the day before:
 ticker | event_count |  min_date  |  max_date  | avg_day1_pct_up | avg_day1_pct_gain 
 SO     |          44 | 2008-02-01 | 2013-09-18 |           3.293 |            -0.558
 ATVI   |         173 | 2008-02-01 | 2014-01-30 |           3.771 |            -0.550
 PGR    |         156 | 2008-01-10 | 2013-11-13 |           3.614 |            -0.537
 STT    |         251 | 2008-01-03 | 2014-01-03 |           4.627 |            -0.536
 LLY    |          85 | 2008-01-07 | 2014-01-16 |           3.340 |            -0.532
 XOM    |         101 | 2008-01-24 | 2013-12-18 |           3.456 |            -0.528
 EIX    |          98 | 2008-02-01 | 2013-09-23 |           3.286 |            -0.520
 ADP    |          96 | 2008-01-07 | 2013-12-18 |           3.094 |            -0.516
 FFIN   |         204 | 2008-01-07 | 2014-01-21 |           3.535 |            -0.505
 UNG    |         290 | 2008-01-02 | 2014-01-29 |           3.622 |            -0.504
 PB     |         211 | 2008-01-10 | 2014-01-24 |           3.970 |            -0.501
 ACGL   |         103 | 2008-01-03 | 2013-10-10 |           3.322 |            -0.501
 NGG    |         112 | 2008-01-07 | 2013-10-02 |           3.232 |            -0.493
 PEP    |          60 | 2008-01-07 | 2013-11-06 |           3.036 |            -0.485
 XLU    |          46 | 2008-01-07 | 2013-09-18 |           3.397 |            -0.478
 CA     |         147 | 2008-01-18 | 2013-11-13 |           3.476 |            -0.477
